vid,num,label,split,label_id
15AlDzC1hok,10,playing acoustic guitar,train,2
15Px5wJjw90,30,playing acoustic guitar,train,2
15bH_pW2uMI,30,playing acoustic guitar,train,2
15w5MOkhlZI,30,driving buses,train,9
165AVh_q4iw,80,toilet flushing,train,1
16LrmbKUNpk,1,police radio chatter,train,8
16LrmbKUNpk,217,police radio chatter,train,8
16b9HjgnmrY,40,toilet flushing,train,1
17BnUuWiMbU,100,toilet flushing,train,1
17L2VkXtcQ0,30,chicken crowing,test,0
18-ffRBe48A,20,toilet flushing,train,1
19XjJonmDbo,10,fireworks banging,train,5
19uuBu5NW3I,30,playing acoustic guitar,train,2
1A8awXjHQpk,410,driving buses,train,9
1AfCMvhZJVY,40,toilet flushing,train,1
1AgD0KT_mMM,30,playing acoustic guitar,train,2
1AiFHvVy5Ng,30,playing acoustic guitar,train,2
1AtqFUuES4U,30,playing acoustic guitar,train,2
1BPgEjmVfKc,30,playing acoustic guitar,train,2
1Br784mypY4,30,playing acoustic guitar,train,2
1CUovaiMy0I,360,basketball bounce,train,7
1CYhIhw2k0I,30,playing acoustic guitar,train,2
1CZrn5Ma1sU,30,playing acoustic guitar,train,2
1D9xCFQyBDE,67,basketball bounce,train,7
1DTuAE9DpuA,10,ocean burbling,train,4
1EDAgUaPtTs,20,playing piano,train,3
1EJynd-jrh8,0,"child speech, kid speaking",train,6
1EdENTLO0Jg,30,playing acoustic guitar,train,2
1Ext2K-w6xQ,30,playing acoustic guitar,train,2
1FVru-IRbKc,50,fireworks banging,train,5
1FcwWT5dZDg,30,playing piano,train,3
1G55TP1tDQ8,30,playing acoustic guitar,train,2
1GZL70qcUzA,30,playing acoustic guitar,train,2
1GZq9AcFu_g,30,playing piano,train,3
1HxILZZvXRU,30,playing piano,train,3
1IDGzHKHtVk,30,playing acoustic guitar,train,2
1IbAy40V99k,30,playing acoustic guitar,train,2
1JT1cuBnUEw,30,playing acoustic guitar,train,2
1K4lWvXjd-I,10,driving buses,train,9
1KIe0RHyx6k,0,toilet flushing,train,1
1KXvMbltDiU,90,"child speech, kid speaking",train,6
1K_c7ZSRxCo,90,playing piano,train,3
1Km75ygL5DI,30,playing acoustic guitar,train,2
1KoxEKZy5tI,580,fireworks banging,train,5
1L8kYsXg5jQ,0,toilet flushing,train,1
1MTKUN3uFrs,440,fireworks banging,test,5
1MZBdGy0rAg,30,playing acoustic guitar,train,2
1NLhrmtfGpk,0,police radio chatter,train,8
1NLhrmtfGpk,90,police radio chatter,train,8
1NbkO1auM1U,0,toilet flushing,train,1
1Oe88CYvot8,400,driving buses,train,9
1P5uTfjhFRY,30,playing acoustic guitar,train,2
1Pb0AcRADZE,30,playing acoustic guitar,train,2
1Q7eUdwHtgE,30,playing acoustic guitar,train,2
1RFIDJcUrkI,139,police radio chatter,train,8
1RVaGEVn7m8,20,fireworks banging,train,5
1TUW6FtUagQ,30,playing acoustic guitar,train,2
1VJLTh884lk,27,toilet flushing,train,1
1VWi9jYHeJk,30,playing acoustic guitar,train,2
1VynTpWC2Uo,26,driving buses,train,9
1X4XvMlrOiE,30,playing piano,train,3
1XAkMV93_IE,30,playing acoustic guitar,train,2
1XBz00U_pv0,180,playing piano,train,3
1XMow1fnsPM,120,fireworks banging,train,5
1Xnx7lS2OgU,30,playing acoustic guitar,train,2
1YPjs1CTY2E,0,toilet flushing,train,1
1ZL1yUitzWI,30,toilet flushing,train,1
1Zq6WrMnAjA,10,"child speech, kid speaking",train,6
1ZvCbhKx1vw,29,fireworks banging,train,5
1_dNS2GmbjM,80,ocean burbling,train,4
1_tKhXUsrjI,30,playing acoustic guitar,train,2
1_v3cedYb74,30,fireworks banging,train,5
1aNLeVBB9RQ,0,toilet flushing,train,1
1avy8rrBQTk,40,playing piano,train,3
1b4XAv3u-Fs,30,playing acoustic guitar,train,2
1bSnGCuqF9w,16,basketball bounce,train,7
1ddycKKR6CE,30,playing acoustic guitar,train,2
1e98HeU9Vrg,20,ocean burbling,train,4
1eGugomDwrI,30,fireworks banging,train,5
1emAlYW4QDA,20,toilet flushing,train,1
1emMgdbf-L4,1,chicken crowing,train,0
1ermtyNrbP0,30,playing acoustic guitar,train,2
1fGev_hyaK8,0,"child speech, kid speaking",train,6
1fMrFrvfxRQ,0,"child speech, kid speaking",train,6
1fqWnC_Ztow,80,playing acoustic guitar,train,2
1gK3BmmR_GE,10,chicken crowing,train,0
1gR8XtPFLtQ,8,driving buses,train,9
1gfkeCGa3yM,30,playing acoustic guitar,train,2
1hIg-Lsvc7Q,30,driving buses,test,9
1hR4B6xey_0,0,chicken crowing,train,0
1hiicV2uaC0,10,ocean burbling,train,4
1i5QJrAfd58,0,ocean burbling,train,4
1jS9-FEN_l8,23,playing acoustic guitar,train,2
1jddoWeANEU,30,ocean burbling,train,4
1jeBw2chBPI,80,fireworks banging,train,5
1lR94pjkbm8,30,playing acoustic guitar,train,2
1m54djTB-nM,30,playing acoustic guitar,train,2
1mFKlB4MIU0,30,playing acoustic guitar,train,2
1mXf6v4izWw,30,playing acoustic guitar,train,2
1maj6GPhivc,120,ocean burbling,train,4
1mfghenMj_E,10,fireworks banging,test,5
1mpJ7c5zGHw,372,playing piano,train,3
1mqE5FhYbDY,70,playing piano,train,3
1nE3qT4wSl4,60,fireworks banging,train,5
1nHUR7C3msE,79,police radio chatter,train,8
1nHUR7C3msE,129,police radio chatter,train,8
1nVCQRn3ttc,200,playing piano,train,3
1nZXZx22Y2k,10,fireworks banging,train,5
1oiluHw_MZs,30,playing acoustic guitar,train,2
1okvYfz7lyA,200,playing piano,train,3
1owKdIYYYeg,0,ocean burbling,test,4
1oynoQ7zKQM,290,playing piano,train,3
1pH633JwD8M,15,driving buses,train,9
1pm82JaM4v0,20,playing piano,train,3
1pxXH-Os7ck,30,playing acoustic guitar,train,2
1q2R6DEhgY0,30,playing acoustic guitar,train,2
1qAX0df3cWE,20,driving buses,train,9
1qTvtQZFxww,370,"child speech, kid speaking",train,6
1r1J4KB8Rkg,10,"child speech, kid speaking",train,6
1rGRzGhU3oM,30,playing acoustic guitar,train,2
1rMiOWl-rug,30,playing acoustic guitar,train,2
1rmx0mnsGwA,22,chicken crowing,train,0
1s0-PQCd88M,135,police radio chatter,train,8
1s0-PQCd88M,176,police radio chatter,train,8
1sGbBTYBxDg,20,toilet flushing,train,1
1sMOkG3Bs9A,210,playing piano,train,3
1sTktH04-fw,40,toilet flushing,train,1
1uP4HHlb6EI,0,chicken crowing,train,0
1uhuVsFGe6E,50,"child speech, kid speaking",test,6
1uje04K-ZY0,310,"child speech, kid speaking",train,6
1umYT1jukpU,50,driving buses,train,9
1vcZuYMJhFA,30,playing acoustic guitar,train,2
1wHYADxOYmk,30,driving buses,train,9
1x7wVFMW4dk,30,playing acoustic guitar,train,2
1xcDoDIrFj0,0,fireworks banging,train,5
1yGhCQUn7GU,10,chicken crowing,train,0
1zpuRrxMBHk,30,playing acoustic guitar,train,2
